planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
TOI-2194 b,0.0145456,0.177466,TOI-2194,19.5711,0.74,0.681,,
TOI-2196 b,0.082,0.3131,TOI-2196,263.98,1.032,1.043,,
TOI-220 b,0.0428,0.2694,TOI-220,89.0,0.825,0.858,,
TOI-2202 b,0.978,1.0,TOI-2202,235.93,0.823,0.794,K8V,
TOI-2202 c,0.369,,TOI-2202,235.93,0.823,0.794,K8V,
TOI-2207 b,0.64,0.995,TOI-2207,380.6,1.296,1.564,,
TOI-2257 b,0.0179,0.19574,TOI-2257,57.7911,0.33,0.311,M3,
TOI-2260 b,0.011,0.1445,TOI-2260,101.3,0.99,0.94,,
TOI-2285 b,0.0614,0.1552,TOI-2285,42.409,0.454,0.464,,
TOI-2364 b,0.225,0.768,TOI-2364,218.63,0.954,0.886,,
TOI-237 b,0.009,0.1285,TOI-237,38.11,0.179,0.211,,
TOI-2406 b,0.0286,0.2623,TOI-2406,55.6,0.162,0.202,M4V,
TOI-2411 b,0.0123,0.1499,TOI-2411,59.5,0.65,0.68,K5V,
TOI-2421 b,0.333,0.925,TOI-2421,327.3,,1.92,,
TOI-2427 b,0.0129,0.161,TOI-2427,28.5,0.64,0.65,K,
TOI-2443 b,0.02558,0.2471,TOI-2443,23.9258,0.66,0.732,,
TOI-2445 b,0.006,0.1115,TOI-2445,48.6,0.25,0.27,M,
TOI-2459 b,0.02847,0.2632,TOI-2459,36.6113,0.66,0.675,,
TOI-2498 b,0.10893,0.5406,TOI-2498,277.0,1.12,1.26,,
TOI-2525 b,0.084,0.774,TOI-2525,395.398,0.849,0.785,K8V,
TOI-2525 c,0.657,0.904,TOI-2525,395.398,0.849,0.785,K8V,
TOI-2567 b,0.201,0.975,TOI-2567,518.4,,1.83,,
TOI-257 b,0.134,0.626,TOI-257,77.07,1.389,1.926,F8/G0V,
TOI-2570 b,0.82,1.217,TOI-2570,361.7,,1.35,,
TOI-2583 b,0.25,1.29,TOI-2583A,561.2,1.215,1.477,,
TOI-2587 b,0.218,1.077,TOI-2587,381.0,1.15,1.726,,
TOI-2641 b,0.366,1.615,TOI-2641,,,,F9V,
TOI-266 b,0.0245,0.2284,TOI-266,101.694,1.04,0.92,,
TOI-2669 b,0.61,1.76,TOI-2669,,1.19,4.1,,
TOI-269 b,0.0277,0.2471,TOI-269,57.023,0.3917,0.398,M2V,
TOI-270 b,0.006,0.11125,TOI-270,22.453,0.4,0.38,M3.0V,
TOI-270 c,0.0208,0.2159,TOI-270,22.453,0.4,0.38,M3.0V,
TOI-270 d,0.017,0.19,TOI-270,22.453,0.4,0.38,M3.0V,
TOI-277 b,0.0308,0.27612,TOI-277,64.67,0.52,0.523,,
TOI-2796 b,0.44,1.59,TOI-2796,352.4,1.063,1.069,,
